label,term,score,freq_cluster,freq_others,cov_cluster,cov_others,kind
cluster_0,along i71,13.507392004068812,36,1,0.1232876712328767,0.0014124293785310734,NG2
cluster_0,work along i71,12.16766644302864,33,1,0.11301369863013698,0.0014124293785310734,NG3
cluster_0,911 report,10.852864771902736,17,0,0.05821917808219178,0.0,NG2
cluster_0,called 911 report,10.245217597622823,17,0,0.05821917808219178,0.0,NG3
cluster_0,deer suddenly,10.012915317441422,21,1,0.07191780821917808,0.0014124293785310734,NG2
cluster_0,damage the front,9.827176070484462,43,5,0.14726027397260275,0.007062146892655367,NG3
cluster_0,suddenly darted,9.713941719286646,14,0,0.04794520547945205,0.0,NG2
cluster_0,auto body,9.658646250033522,44,7,0.1506849315068493,0.009887005649717515,NG2
cluster_0,damage vehicle,9.650935007382953,29,3,0.09931506849315068,0.00423728813559322,NG2
cluster_0,side the highway,9.524501938982382,15,0,0.05136986301369863,0.0,NG3
cluster_0,avoid hitting,9.432231245020791,19,1,0.06506849315068493,0.0014124293785310734,NG2
cluster_0,exit for,9.37446800436302,42,7,0.14383561643835616,0.009887005649717515,NG2
cluster_0,darted across,8.811935195162715,17,1,0.05821917808219178,0.0014124293785310734,NG2
cluster_0,efforts brake,8.811935195162715,17,1,0.05821917808219178,0.0014124293785310734,NG2
cluster_0,police arrived,8.785805527816516,35,6,0.11986301369863013,0.00847457627118644,NG2
cluster_0,deer suddenly darted,8.742127370793789,13,0,0.04452054794520548,0.0,NG3
cluster_0,i71 ohio,8.741581816207187,21,2,0.07191780821917808,0.002824858757062147,NG2
cluster_0,thankfully was,8.562587706941901,24,3,0.0821917808219178,0.00423728813559322,NG2
cluster_0,along i71 ohio,8.509180890630054,18,1,0.06164383561643835,0.0014124293785310734,NG3
cluster_0,shop where,8.414112030873952,11,0,0.03767123287671233,0.0,NG2
cluster_0,was unharmed,8.414112030873952,11,0,0.03767123287671233,0.0,NG2
cluster_0,wearing seatbelt,8.414112030873952,11,0,0.03767123287671233,0.0,NG2
cluster_0,fortunately was,8.414112030873952,11,0,0.03767123287671233,0.0,NG2
cluster_0,smith auto,8.414112030873952,11,0,0.03767123287671233,0.0,NG2
cluster_0,was wearing,8.414112030873952,11,0,0.03767123287671233,0.0,NG2
cluster_0,body shop abc,8.323829403312077,12,0,0.0410958904109589,0.0,NG3
cluster_0,but car,8.27024048934615,26,4,0.08561643835616438,0.005649717514124294,NG2
cluster_0,work along,8.146331732665972,67,21,0.22945205479452055,0.029661016949152543,NG2
cluster_0,shop abc,8.145361512849142,15,1,0.05136986301369863,0.0014124293785310734,NG2
