umap_x,umap_y,label_type,topic_id
15.1623125,-5.661881,0,3
14.287345,-6.008828,0,-1
3.244549,1.831085,0,4
-5.339613,-0.38930234,1,5
4.3343964,3.6745605,0,2
1.5516864,17.545525,0,9
14.741627,-4.1055765,0,20
-4.756403,0.30842268,1,0
16.297768,7.852943,0,22
2.5943892,4.143552,0,13
13.596715,-4.962149,0,3
1.1513236,17.419313,0,10
-4.863598,0.37110552,1,0
14.016486,-4.982444,0,21
16.079535,8.84314,0,8
2.0057895,2.5436578,0,11
13.633608,-5.5249553,0,-1
-6.6065493,-0.8549914,1,7
1.1823665,17.609808,0,10
1.0090185,17.645609,0,10
13.682788,-4.5872936,0,1
14.106987,-4.8526516,0,1
16.424234,8.012443,0,19
2.8710437,2.0772352,0,4
-7.662364,-0.9934485,1,7
2.3078444,2.659823,0,17
16.350267,8.448137,0,-1
3.4203625,2.3904028,0,4
14.529329,-4.7560244,0,1
-4.735263,-0.53281605,1,18
-4.5585117,-0.47085452,1,18
-6.8686333,2.115685,1,6
-6.273491,-0.4906754,1,5
15.03434,-5.719721,0,3
-6.9207435,2.032362,1,6
3.3945484,2.6148865,0,4
16.544844,8.045539,0,19
-5.701063,0.6144043,1,0
14.581847,-4.4829416,0,12
1.5076928,17.804077,0,9
-6.872851,2.063969,1,6
15.309122,-5.274021,0,1
2.6046486,4.1249514,0,13
-4.6616397,0.12765895,1,0
13.563723,-4.9165096,0,-1
15.048777,-5.2949185,0,21
16.362648,8.756096,0,8
-5.836615,-0.65980536,1,18
1.4966587,17.596409,0,9
3.440486,1.6944773,0,19
1.2351933,17.865757,0,10
-6.6402683,-0.8443698,1,7
3.2422066,1.8070912,0,8
2.8730788,3.2501366,0,17
1.0453517,17.845053,0,10
15.541225,-5.1061482,0,1
2.9535372,1.9484248,0,4
13.8939495,-5.712384,0,-1
3.432226,1.7037917,0,15
-6.2957826,-0.38971475,1,5
14.956542,-4.0415816,0,20
2.5329223,2.7774217,0,2
1.1577239,17.662811,0,10
17.317272,7.8941374,0,14
1.3818593,17.904842,0,9
14.353221,-5.264431,0,3
-5.141188,0.7112733,1,0
14.60491,-4.615064,0,12
-5.571649,-0.31204653,1,5
1.9863042,2.785929,0,11
15.0694275,-5.1411076,0,1
-6.9136705,2.1283834,1,6
16.26939,8.0564375,0,15
14.422076,-4.3360176,0,23
-6.849564,2.0693944,1,6
14.84437,-5.8292484,0,16
14.4413595,-6.0740204,0,-1
16.645302,7.74435,0,14
15.084758,-4.6161766,0,12
1.1061053,17.48059,0,10
-4.881737,0.49561864,1,0
-4.5438213,-0.23416474,1,5
14.312052,-5.3768363,0,3
14.806754,-5.884144,0,16
16.093077,8.444806,0,-1
1.5723963,17.522104,0,9
17.209225,8.05453,0,14
-5.456251,-0.082950786,1,5
14.94256,-4.020707,0,20
14.101978,-5.7423673,0,-1
-5.977285,-0.5206973,1,5
15.366225,-5.3653893,0,21
2.421957,3.4872801,0,11
15.296399,-5.5387974,0,-1
14.733524,-5.202791,0,21
-5.790305,-0.60677975,1,18
14.36734,-5.5827694,0,3
15.025568,-4.8433614,0,12
2.2111862,2.7067459,0,17
2.6412818,4.122022,0,13
-5.670947,0.60055786,1,0
1.4473853,17.724281,0,9
-6.743614,-0.83134466,1,7
-6.633178,-0.86654526,1,7
-5.6977286,0.5989148,1,0
14.009091,-4.221801,0,23
15.370205,-5.384604,0,21
16.316708,7.861758,0,22
16.45077,8.59747,0,-1
-4.719863,0.24420181,1,0
13.706029,-4.9083476,0,21
15.065858,-4.2122087,0,20
-5.2562685,0.06805258,1,0
13.653685,-4.41143,0,12
14.20523,-4.668449,0,1
14.916812,-4.0993466,0,20
15.187535,-5.4383316,0,21
16.675707,8.138165,0,19
16.368744,7.822935,0,22
14.243346,-4.6537833,0,1
16.482504,8.172574,0,15
15.26225,-5.521307,0,-1
14.540303,-4.3618417,0,23
2.1693678,3.034747,0,11
14.589718,-4.6043954,0,12
3.475856,2.5315237,0,4
-7.1526003,-1.2978638,1,-1
13.932015,-4.740162,0,1
-7.481443,-1.1286889,1,7
1.4237086,17.660639,0,9
16.284266,8.515535,0,-1
16.265549,7.9826636,0,19
-5.875488,-0.62357414,1,18
14.874324,-4.970825,0,1
3.1752815,2.9892437,0,2
3.111986,1.8171003,0,4
14.19074,-5.1503005,0,-1
-6.6510262,-0.5240546,1,5
15.859121,8.526242,0,8
14.979676,-5.4715695,0,3
2.8059719,2.0443468,0,4
16.109879,8.362483,0,-1
-6.293469,-0.6190103,1,18
14.983082,-4.035007,0,20
1.1264739,17.415491,0,10
15.246119,-4.358697,0,23
14.682968,-4.203791,0,23
15.463969,-4.8800497,0,12
-6.7399516,-0.42078334,1,5
14.794477,-4.597073,0,12
13.838574,-4.652557,0,1
-7.364166,-1.1934466,1,7
16.354277,8.372838,0,15
1.1578155,17.382788,0,10
14.403602,-6.059608,0,-1
-5.109741,0.5201291,1,0
15.096103,-5.0583878,0,1
13.717625,-5.3841915,0,16
14.090899,-5.586586,0,16
14.389954,-6.113669,0,-1
-6.673043,1.9557035,1,6
16.529314,7.825705,0,14
-6.7594886,1.8720452,1,6
15.551588,-4.822719,0,12
2.8964968,1.9962838,0,4
-7.3500886,-1.1988554,1,7
3.3874943,1.7018021,0,15
-4.683755,0.16421698,1,0
16.234417,8.684985,0,8
-4.5594254,-0.48058715,1,18
15.329485,-5.0060487,0,1
-6.508025,2.2563279,1,6
-5.757595,-0.5364814,1,5
-5.422045,0.774973,1,0
-5.6008916,0.37424162,1,0
-4.82488,-0.42881033,1,5
14.740175,-4.8370137,0,1
2.241778,2.6023319,0,17
3.2619348,3.2815223,0,2
-5.726504,-0.4747328,1,5
17.384335,7.957258,0,14
2.5563128,4.061604,0,13
17.352383,8.0890255,0,14
14.360569,-5.0239124,0,21
1.9830116,2.9670188,0,13
14.845171,-4.0087047,0,20
14.663069,-5.8701835,0,16
-4.5191483,-0.026693754,1,5
-6.4863877,2.2800078,1,6
3.4487019,2.5927377,0,4
15.2891655,-4.7069364,0,12
17.028215,8.225541,0,22
-5.820142,-0.57815653,1,18
15.4483595,-5.320432,0,1
2.6543553,3.9402933,0,13
-7.2778454,-1.2287629,1,7
13.955469,-4.761388,0,1
2.4545414,2.6812816,0,2
15.233248,-5.1815867,0,1
1.960379,2.5411108,0,11
14.486365,-4.830762,0,1
17.02791,8.075492,0,14
-5.894097,1.02519,1,0
16.981522,8.3564,0,19
-6.7418375,1.97216,1,6
-7.2324147,-1.2878941,1,-1
14.021723,-5.749706,0,-1
4.320805,3.6648858,0,2
-5.606395,0.583276,1,0
17.136017,8.408058,0,19
14.686752,-5.2607503,0,21
-6.4833922,2.0660183,1,6
-4.6693015,-0.36218777,1,5
-5.142533,0.71529794,1,0
1.9550418,2.5666032,0,11
14.780385,-4.824473,0,1
14.582074,-4.5999255,0,12
-5.924586,-0.7122722,1,7
3.5726175,3.0397465,0,2
-4.74512,0.3142482,1,0
16.261927,9.0102415,0,8
-5.310002,-0.5391423,1,18
17.196491,8.435549,0,19
16.376389,7.838225,0,22
-5.192599,0.7628837,1,0
2.4955444,3.3406565,0,11
14.274216,-6.04483,0,-1
13.625296,-4.3917484,0,12
-4.535047,-0.44198576,1,18
2.5072062,2.7422967,0,2
-6.395507,-0.9714423,1,7
-4.58905,0.04841742,1,0
16.421152,8.85747,0,8
2.6747293,2.3941913,0,2
15.017552,-4.037742,0,20
-7.382457,-1.1922141,1,7
13.646097,-4.644208,0,1
1.4317429,17.794538,0,9
-4.6279345,0.0955109,1,0
-6.764632,1.836781,1,6
-4.5183315,0.10228022,1,0
13.571273,-5.3676486,0,16
1.9437044,2.704956,0,11
2.269633,2.7897055,0,17
2.4193223,2.4203722,0,2
14.798661,-5.944426,0,16
14.46334,-4.509998,0,12
14.212501,-4.8389754,0,1
1.020381,17.862616,0,10
17.370335,8.191152,0,14
4.336833,3.6699798,0,2
2.431301,3.7742853,0,13
2.5385756,3.0975637,0,17
14.24767,-5.1663904,0,-1
14.862056,-5.80567,0,16
