physician_id,category_id
2383401,AttendingPhysician
2370909,AttendingPhysician
2430032,AttendingPhysician
2408282,AttendingPhysician
2343317,AttendingPhysician
2347511,AttendingPhysician
2425443,AttendingPhysician
2390959,AttendingPhysician
2334905,AttendingPhysician
2386572,AttendingPhysician
2383478,AttendingPhysician
2425169,AttendingPhysician
2327219,AttendingPhysician
2424317,AttendingPhysician
2386539,AttendingPhysician
2324803,AttendingPhysician
2358567,AttendingPhysician
2353687,AttendingPhysician
2373032,AttendingPhysician
2317949,AttendingPhysician
2347029,AttendingPhysician
2365254,AttendingPhysician
2332965,AttendingPhysician
2347780,AttendingPhysician
2319940,AttendingPhysician
2383988,AttendingPhysician
2418388,AttendingPhysician
2428514,AttendingPhysician
2338032,AttendingPhysician
2357120,AttendingPhysician
2405216,AttendingPhysician
2325217,AttendingPhysician
2425945,AttendingPhysician
2427243,AttendingPhysician
2370524,AttendingPhysician
2413185,AttendingPhysician
2404852,AttendingPhysician
2415056,AttendingPhysician
2428040,AttendingPhysician
2404926,AttendingPhysician
2354210,AttendingPhysician
2351675,AttendingPhysician
2339141,AttendingPhysician
2385035,AttendingPhysician
2403299,AttendingPhysician
2417910,AttendingPhysician
2361813,AttendingPhysician
2326984,AttendingPhysician
2431534,AttendingPhysician
2402245,AttendingPhysician
2358047,AttendingPhysician
2332810,AttendingPhysician
2355181,AttendingPhysician
2343119,AttendingPhysician
2371754,AttendingPhysician
2371459,AttendingPhysician
2384380,AttendingPhysician
2428802,AttendingPhysician
2398301,AttendingPhysician
2428424,AttendingPhysician
2381047,AttendingPhysician
2322027,AttendingPhysician
2399435,AttendingPhysician
2322042,AttendingPhysician
2416732,AttendingPhysician
2351973,AttendingPhysician
2330667,AttendingPhysician
2427049,AttendingPhysician
2426599,AttendingPhysician
2361550,AttendingPhysician
2317557,AttendingPhysician
2372901,AttendingPhysician
2347064,AttendingPhysician
2369122,AttendingPhysician
2387026,AttendingPhysician
2378015,AttendingPhysician
2376641,AttendingPhysician
2323842,AttendingPhysician
2341061,AttendingPhysician
2362544,AttendingPhysician
2344307,AttendingPhysician
2380691,AttendingPhysician
2382037,AttendingPhysician
2333768,AttendingPhysician
2358400,AttendingPhysician
2383515,AttendingPhysician
2404509,AttendingPhysician
2369686,AttendingPhysician
2414311,AttendingPhysician
2405990,AttendingPhysician
2346284,AttendingPhysician
2423556,AttendingPhysician
2411031,AttendingPhysician
2418057,AttendingPhysician
2415289,AttendingPhysician
2363170,AttendingPhysician
2389335,AttendingPhysician
2400360,AttendingPhysician
2324830,AttendingPhysician
2414961,AttendingPhysician
2319036,AttendingPhysician
2430605,AttendingPhysician
2331724,AttendingPhysician
2365993,AttendingPhysician
2000000,AttendingPhysician
2432614,AttendingPhysician
2346587,AttendingPhysician
2432829,AttendingPhysician
2414251,AttendingPhysician
2333868,AttendingPhysician
2368107,AttendingPhysician
2430880,AttendingPhysician
2383855,AttendingPhysician
2313278,AttendingPhysician
2399087,AttendingPhysician
2412288,AttendingPhysician
2330119,AttendingPhysician
2325488,AttendingPhysician
2354326,AttendingPhysician
2383210,AttendingPhysician
2366642,AttendingPhysician
2394779,AttendingPhysician
2341780,AttendingPhysician
2378391,AttendingPhysician
2360113,AttendingPhysician
2317149,AttendingPhysician
2386156,AttendingPhysician
2397277,AttendingPhysician
2342582,AttendingPhysician
2382290,AttendingPhysician
2340715,AttendingPhysician
2349531,AttendingPhysician
2367934,AttendingPhysician
2344357,AttendingPhysician
2353128,AttendingPhysician
2378829,AttendingPhysician
2335686,AttendingPhysician
2396091,AttendingPhysician
2329526,AttendingPhysician
2345321,AttendingPhysician
2316885,AttendingPhysician
2394276,AttendingPhysician
2336996,AttendingPhysician
2339784,AttendingPhysician
2378227,AttendingPhysician
2321417,AttendingPhysician
2362418,AttendingPhysician
2398814,AttendingPhysician
2379142,AttendingPhysician
2385253,AttendingPhysician
2430594,AttendingPhysician
2391231,AttendingPhysician
2395923,AttendingPhysician
2327407,AttendingPhysician
2329707,AttendingPhysician
2313315,AttendingPhysician
2347117,AttendingPhysician
2327695,AttendingPhysician
2393811,AttendingPhysician
2389680,AttendingPhysician
2361109,AttendingPhysician
2359453,AttendingPhysician
2341953,AttendingPhysician
2341395,AttendingPhysician
2382621,AttendingPhysician
2418771,AttendingPhysician
2315482,AttendingPhysician
2311816,AttendingPhysician
2375241,AttendingPhysician
2339207,AttendingPhysician
2396077,AttendingPhysician
2418957,AttendingPhysician
2395822,AttendingPhysician
2343046,AttendingPhysician
2411906,AttendingPhysician
2420091,AttendingPhysician
2336926,AttendingPhysician
2353793,AttendingPhysician
2318667,AttendingPhysician
2311285,AttendingPhysician
2400092,AttendingPhysician
2377902,AttendingPhysician
2341655,AttendingPhysician
2347590,AttendingPhysician
2400399,AttendingPhysician
2397133,AttendingPhysician
2386513,AttendingPhysician
2414564,AttendingPhysician
2341211,AttendingPhysician
2319070,AttendingPhysician
2395503,AttendingPhysician
2350731,AttendingPhysician
2317665,AttendingPhysician
2313157,AttendingPhysician
2338753,AttendingPhysician
2324990,AttendingPhysician
2344373,AttendingPhysician
2361948,AttendingPhysician
2430789,AttendingPhysician
2339941,AttendingPhysician
2370737,AttendingPhysician
2362903,AttendingPhysician
2371712,AttendingPhysician
2433487,AttendingPhysician
2423848,AttendingPhysician
2427489,AttendingPhysician
2347483,AttendingPhysician
2398524,AttendingPhysician
2410422,AttendingPhysician
2415856,AttendingPhysician
2324491,AttendingPhysician
2370324,AttendingPhysician
2391972,AttendingPhysician
2367268,AttendingPhysician
2359673,AttendingPhysician
2327046,AttendingPhysician
2345234,AttendingPhysician
2405488,AttendingPhysician
2311788,AttendingPhysician
2357307,AttendingPhysician
2394082,AttendingPhysician
2394938,AttendingPhysician
2365749,AttendingPhysician
2367777,AttendingPhysician
2324327,AttendingPhysician
2350277,AttendingPhysician
2409100,AttendingPhysician
2358078,AttendingPhysician
2339203,AttendingPhysician
2347088,AttendingPhysician
2358494,AttendingPhysician
2432927,AttendingPhysician
2363849,AttendingPhysician
2323522,AttendingPhysician
2412442,AttendingPhysician
2393922,AttendingPhysician
2318287,AttendingPhysician
2345776,AttendingPhysician
2341828,AttendingPhysician
2368661,AttendingPhysician
2379737,AttendingPhysician
2351910,AttendingPhysician
2409119,AttendingPhysician
2329600,AttendingPhysician
2433374,AttendingPhysician
2344257,AttendingPhysician
2432769,AttendingPhysician
2430497,AttendingPhysician
2318029,AttendingPhysician
2312504,AttendingPhysician
2345000,AttendingPhysician
2425887,AttendingPhysician
2417590,AttendingPhysician
2398227,AttendingPhysician
2316032,AttendingPhysician
2345497,AttendingPhysician
2388040,AttendingPhysician
2414264,AttendingPhysician
2318381,AttendingPhysician
2408482,AttendingPhysician
2432238,AttendingPhysician
2428301,AttendingPhysician
2364792,AttendingPhysician
2421902,AttendingPhysician
2400589,AttendingPhysician
2416831,AttendingPhysician
2368232,AttendingPhysician
2427154,AttendingPhysician
2399380,AttendingPhysician
2396305,AttendingPhysician
2425420,AttendingPhysician
2337457,AttendingPhysician
2350551,AttendingPhysician
2330339,AttendingPhysician
2381381,AttendingPhysician
2377389,AttendingPhysician
2429775,AttendingPhysician
2427001,AttendingPhysician
2401786,AttendingPhysician
2358945,AttendingPhysician
2359255,AttendingPhysician
2352589,AttendingPhysician
2354167,AttendingPhysician
2374079,AttendingPhysician
2408317,AttendingPhysician
2373876,AttendingPhysician
2362625,AttendingPhysician
2400807,AttendingPhysician
2429875,AttendingPhysician
2326281,AttendingPhysician
2331663,AttendingPhysician
2341080,AttendingPhysician
2353553,AttendingPhysician
2349874,AttendingPhysician
2427822,AttendingPhysician
2347297,AttendingPhysician
2410214,AttendingPhysician
2343295,AttendingPhysician
2375112,AttendingPhysician
2368573,AttendingPhysician
2388267,AttendingPhysician
2408726,AttendingPhysician
2364927,AttendingPhysician
